product,origin,lowest_price,highest_price,date
agrest 1 kg,kraj,6.0,7.0,2021-07-01
ananas dekoracyjny szt.,import,3.6,4.2,2021-07-01
bakłażan 1 kg,import,4.0,4.4,2021-07-01
bakłażan 1 kg,kraj,0.0,5.0,2021-07-01
bataty 1 kg,import,8.0,9.0,2021-07-01
bób 1 kg,import,6.5,8.0,2021-07-01
botwinka pęczek,kraj,2.5,2.8,2021-07-01
brokuły szt.,kraj,3.0,4.0,2021-07-01
buraki czerwone 1 kg,kraj,2.0,4.0,2021-07-01
buraki czerwone młode pęczek,kraj,2.0,3.5,2021-07-01
cebula biała 1 kg,kraj,1.5,1.7,2021-07-01
cebula biała 1 kg,import,1.5,2.0,2021-07-01
cebula czerwona 1 kg,kraj,2.5,3.5,2021-07-01
cebula czosnkowa 1 kg,kraj,2.0,3.5,2021-07-01
cebula ze szczypiorem pęczek,kraj,2.0,2.5,2021-07-01
chrzan 1 kg,kraj,7.0,9.0,2021-07-01
cukinia 1 kg,kraj,2.4,3.0,2021-07-01
cykoria 1 kg,kraj,6.0,9.6,2021-07-01
czosnek 1 kg,import,10.0,13.0,2021-07-01
fasolka szparagowa 1 kg,kraj,10.0,12.0,2021-07-01
jabłka Empire 1 kg,kraj,2.0,3.0,2021-07-01
jabłka Rubinstar 1 kg,kraj,1.0,1.66,2021-07-01
jeżyny 1 kg,kraj,32.5,35.0,2021-07-01
kabaczek 1 kg,kraj,6.0,7.0,2021-07-01
kalafior szt.,kraj,4.0,6.0,2021-07-01
kalarepa szt.,kraj,1.5,1.8,2021-07-01
kapusta biała 1 kg,kraj,1.5,2.0,2021-07-01
kapusta biała młoda szt.,kraj,2.5,4.0,2021-07-01
kapusta czerwona 1 kg,kraj,2.5,3.5,2021-07-01
kapusta kiszona 1 kg,kraj,4.0,7.0,2021-07-01
kapusta pekińska 1 kg,kraj,3.0,4.0,2021-07-01
koperek pęczek,kraj,1.0,1.2,2021-07-01
marchew 1 kg,kraj,1.75,2.0,2021-07-01
marchew 1 kg,import,2.5,3.0,2021-07-01
marchew młoda pęczek,kraj,2.0,3.0,2021-07-01
nać pietruszki pęczek,kraj,1.0,1.2,2021-07-01
ogórek gruntowy 1 kg,kraj,3.0,4.0,2021-07-01
ogórek kiszony 1 kg,kraj,7.0,8.5,2021-07-01
ogórek kiszony małosolny 1 kg,kraj,9.0,11.0,2021-07-01
ogórek szklarniowy krótki 1 kg,kraj,1.0,2.0,2021-07-01
papryka czerwona 1 kg,import,8.3,13.0,2021-07-01
