product,measure,lowest_price,highest_price,date
bakłażan,kg,2.5,4.0,2021-08-13
bataty,kg,8.0,10.0,2021-08-13
bób,kg,13.0,13.0,2021-08-13
botwina,pęczek,3.0,3.0,2021-08-13
brokuł,szt,4.0,4.5,2021-08-13
burak czerwony młody,kg,1.6,3.0,2021-08-13
cebula,kg,1.67,1.8,2021-08-13
cebula cukrowa,kg,3.4,3.5,2021-08-13
cebula czerwona,kg,3.0,4.0,2021-08-13
cebula młoda,kg,2.6,2.6,2021-08-13
chrzan,kg,10.0,12.0,2021-08-13
cukinia,kg,2.0,3.0,2021-08-13
cykoria,500 g,5.5,6.0,2021-08-13
czosnek,kg,15.0,15.0,2021-08-13
czosnek,szt,1.2,1.6,2021-08-13
fasola szparagowa żółta,kg,6.0,6.0,2021-08-13
jarmuż,tacka,5.0,5.0,2021-08-13
kalafior,szt,4.0,4.5,2021-08-13
kalarepa,szt,1.5,1.5,2021-08-13
kapusta biała - młoda,szt,2.0,3.0,2021-08-13
kapusta czerwona,kg,2.5,3.0,2021-08-13
kapusta kiszona,kg,3.34,4.0,2021-08-13
kapusta pekińska,kg,3.0,3.6,2021-08-13
kapusta włoska,szt,3.5,3.5,2021-08-13
koper,pęczek,1.2,1.5,2021-08-13
kukurydza,szt,2.0,2.0,2021-08-13
marchew młoda,kg,1.5,2.5,2021-08-13
natka z pietruszki,pęczek,1.2,1.2,2021-08-13
ogórek długi kraj.,kg,3.6,4.2,2021-08-13
ogórek kiszony,kg,6.0,6.34,2021-08-13
ogórek krótki kraj.,kg,4.0,4.5,2021-08-13
papryka czerwona,kg,3.4,4.4,2021-08-13
papryka pikantna,kg,10.0,16.0,2021-08-13
papryka zielona,kg,2.6,4.4,2021-08-13
papryka żółta,kg,3.4,4.4,2021-08-13
pietruszka,kg,8.0,8.0,2021-08-13
pomidor koktajlowy,kg,9.0,10.0,2021-08-13
pomidor kraj.,kg,4.17,5.0,2021-08-13
pomidor malinowy kraj.,kg,5.0,5.67,2021-08-13
por,szt,2.0,2.0,2021-08-13
roszponka,100 g,3.5,4.0,2021-08-13
rucola,100 g,3.5,4.0,2021-08-13
rzepa biała,kg,4.0,4.0,2021-08-13
rzodkiewka,pęczek,1.5,1.8,2021-08-13
sałata lodowa,szt,4.0,4.5,2021-08-13
sałata masłowa,szt,2.5,2.5,2021-08-13
sałata mix,100 g,3.5,4.0,2021-08-13
sałata rzymska,szt,5.0,6.0,2021-08-13
seler,kg,3.2,4.0,2021-08-13
seler naciowy,szt,3.5,4.0,2021-08-13
szczypior,szt,1.2,1.4,2021-08-13
szpinak baby,100 g,3.5,4.0,2021-08-13
słonecznik,szt,2.5,3.5,2021-08-13
włoszczyzna,pęczek,3.0,3.5,2021-08-13
ziemniak młody kraj.,kg,1.0,1.2,2021-08-13
ananas,szt,4.0,5.5,2021-08-13
arbuz,kg,2.0,3.0,2021-08-13
awokado,szt,5.5,6.0,2021-08-13
banany,kg,3.06,3.8,2021-08-13
borówka amerykańska,0.25 kg,3.5,4.0,2021-08-13
