product,origin,quantity,lowest_price,highest_price,date
Ananas,import,"1,00 szt.",5.0,10.0,2021-06-29
Arbuz,import,"1,00 Kg",3.0,5.0,2021-06-29
Arbuz bezpestkowy,import,"1,00 Kg",3.7,3.99,2021-06-29
Avocado,import,"1,00 szt.",4.0,6.0,2021-06-29
Banan,import,"18,00 Kg",75.0,80.0,2021-06-29
Cytryna Hiszpania,import,"10,00 Kg",50.0,65.0,2021-06-29
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-06-29
Granat,import,"1,00 szt.",4.0,6.0,2021-06-29
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-06-29
Gruszka,import,"12,00 Kg",80.0,85.0,2021-06-29
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-06-29
Limonka,import,"1,00 Kg",12.0,15.0,2021-06-29
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-06-29
Mango,import,"1,00 szt.",3.5,6.0,2021-06-29
Melon,import,"1,00 szt.",5.0,8.0,2021-06-29
Morela,import,"5,00 Kg",60.0,70.0,2021-06-29
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-06-29
Śliwka,import,"5,00 Kg",55.0,60.0,2021-06-29
Truskawka Grecja,import,"1,00 Kg",12.0,14.0,2021-06-29
Winogrono ciemne Chile,import,"7,00 Kg",80.0,90.0,2021-06-29
Ananas,import,"1,00 szt.",5.0,10.0,2021-06-30
Arbuz,import,"1,00 Kg",3.0,5.0,2021-06-30
Arbuz bezpestkowy,import,"1,00 Kg",3.7,3.99,2021-06-30
Avocado,import,"1,00 szt.",4.0,6.0,2021-06-30
Banan,import,"18,00 Kg",75.0,80.0,2021-06-30
Cytryna Hiszpania,import,"10,00 Kg",50.0,65.0,2021-06-30
Czereśnia,import,"1,00 Kg",22.0,25.0,2021-06-30
Granat,import,"1,00 szt.",4.0,6.0,2021-06-30
Grejpfrut czerwony,import,"17,00 Kg",110.0,120.0,2021-06-30
Gruszka,import,"12,00 Kg",80.0,85.0,2021-06-30
Kiwi koszyk,import,"1,00 Kg",11.0,13.0,2021-06-30
Limonka,import,"1,00 Kg",12.0,15.0,2021-06-30
Mandarynka Hiszpania,import,"10,00 Kg",60.0,90.0,2021-06-30
Mango,import,"1,00 szt.",3.5,6.0,2021-06-30
Melon,import,"1,00 szt.",5.0,8.0,2021-06-30
Morela,import,"5,00 Kg",60.0,70.0,2021-06-30
Pomarancza Hiszpania,import,"10,00 Kg",60.0,70.0,2021-06-30
Śliwka,import,"5,00 Kg",55.0,60.0,2021-06-30
Truskawka Grecja,import,"1,00 Kg",12.0,14.0,2021-06-30
Winogrono ciemne Chile,import,"7,00 Kg",80.0,90.0,2021-06-30
Winogrono Jasne,import,"5,00 Kg",65.0,75.0,2021-06-30
Borówka,krajowe,"250,00 g",12.0,12.0,2021-06-30
Czereśnia,krajowe,"1,00 Kg",8.0,14.0,2021-06-30
Gruszka  Konferencja,krajowe,"1,00 Kg",2.0,4.0,2021-06-30
Jabłko Alva,krajowe,"15,00 Kg",20.0,35.0,2021-06-30
Jabłko Champion,krajowe,"15,00 Kg",15.0,30.0,2021-06-30
Jabłko Cortland,krajowe,"15,00 Kg",25.0,50.0,2021-06-30
Jabłko Empire,krajowe,"15,00 Kg",25.0,50.0,2021-06-30
Jabłko Jonagored,krajowe,"15,00 Kg",15.0,25.0,2021-06-30
Jabłko Ligol,krajowe,"15,00 Kg",15.0,30.0,2021-06-30
Jabłko Lobo,krajowe,"15,00 Kg",25.0,50.0,2021-06-30
Jabłko Prince,krajowe,"15,00 Kg",15.0,25.0,2021-06-30
Jabłko Szara Reneta,krajowe,"15,00 Kg",35.0,60.0,2021-06-30
Malina,krajowe,"250,00 g",8.0,10.0,2021-06-30
Truskawka,krajowe,"2,00 Kg",8.0,12.0,2021-06-30
Batat,import,"1,00 Kg",8.0,10.0,2021-06-30
Cukinia,import,"1,00 Kg",5.0,8.0,2021-06-30
Cykoria,import,"1,00 szt.",6.0,6.0,2021-06-30
Imbir,import,"1,00 Kg",18.0,20.0,2021-06-30
Papryka Chili,import,"1,00 Kg",17.0,23.0,2021-06-30
Papryka Czerwona,import,"5,00 Kg",55.0,65.0,2021-06-30
Pomidor Cherry Hiszpania,import,"250,00 g",5.0,6.0,2021-06-30
Pomidor Hiszpania gałązka,import,"3,00 Kg",50.0,55.0,2021-06-30
Rukola,import,"100,00 g",3.5,4.0,2021-06-30
Sałata lodowa,import,"1,00 szt.",2.5,3.0,2021-06-30
Sałata mix,import,"150,00 g",3.5,4.0,2021-06-30
Seler naciowy,import,"1,00 szt.",3.0,4.0,2021-06-30
Bób,krajowe,"1,00 Kg",5.0,10.0,2021-06-30
Botwinka,krajowe,"10,00 szt.",15.0,25.0,2021-06-30
Brokuł,krajowe,"1,00 szt.",2.0,3.0,2021-06-30
Burak młody cięty,krajowe,"10,00 Kg",10.0,30.0,2021-06-30
Cebula dymka ze szczypiorem młoda,krajowe,"1,00 szt.",1.5,2.5,2021-06-30
Cebula z łuską,krajowe,"15,00 Kg",18.0,25.0,2021-06-30
Chrzan,krajowe,"5,00 Kg",50.0,70.0,2021-06-30
Czosnek,krajowe,"1,00 szt.",1.0,3.0,2021-06-30
Fasola  żółta,krajowe,"1,00 Kg",12.0,16.0,2021-06-30
Kalafior,krajowe,"1,00 szt.",3.0,5.5,2021-06-30
Kapusta czerwona,krajowe,"10,00 Kg",40.0,50.0,2021-06-30
Kapusta kwaszona ,krajowe,"1,00 Kg",3.0,4.0,2021-06-30
Kapusta kwaszona młoda,krajowe,"1,00 Kg",7.0,7.0,2021-06-30
Kapusta młoda,krajowe,"1,00 szt.",1.5,3.0,2021-06-30
